date,ville,region,latitude,longitude,altitude_m,type_climat,temp_min_c,temp_max_c,temp_mean_c,humidite_pct,precipitations_mm,vitesse_vent_ms,direction_vent_deg,rafale_max_ms,ensoleillement_h,duree_jour_h,rayonnement_wm2,pm25_proxy_ugm3,qualite_capteur
2020-01-25,Abong-Mbang,Est,3.983,13.183,650,equatorial,12.9,23.9,17.6,55.2,0.0,4.2,144.0,6.1,6.1,10.78,566.8,34.7,medium
2020-01-26,Abong-Mbang,Est,3.983,13.183,650,equatorial,13.6,24.8,18.2,73.7,0.0,1.9,241.0,2.8,5.7,10.8,534.6,28.7,medium
2020-01-27,Abong-Mbang,Est,3.983,13.183,650,equatorial,12.5,20.0,15.9,68.2,0.0,2.7,,3.2,6.0,10.81,562.9,23.5,medium
2020-01-28,Abong-Mbang,Est,3.983,13.183,650,equatorial,13.6,26.3,19.8,70.9,0.0,0.8,45.0,,4.5,10.83,395.9,,medium
2020-01-29,Abong-Mbang,Est,3.983,13.183,650,equatorial,15.2,25.8,19.4,75.2,0.0,1.4,,2.0,13.7,10.85,557.4,16.3,medium
2020-01-30,Abong-Mbang,Est,3.983,13.183,650,equatorial,13.3,,18.5,,0.0,3.9,218.0,5.6,5.4,10.86,495.2,25.8,medium
2020-01-31,Abong-Mbang,Est,3.983,13.183,650,equatorial,13.8,24.0,18.7,58.7,0.0,2.8,237.0,4.3,7.5,10.88,810.9,19.5,medium
2020-02-01,Abong-Mbang,Est,3.983,13.183,650,equatorial,15.9,28.1,21.4,,,4.2,216.0,6.4,7.6,10.9,873.9,19.9,medium
2020-02-02,Abong-Mbang,Est,3.983,13.183,650,equatorial,,23.4,18.8,61.3,0.0,0.0,46.0,0.0,7.2,10.91,,,medium
2020-02-03,Abong-Mbang,Est,3.983,13.183,650,equatorial,15.8,25.3,20.7,72.0,0.0,1.1,104.0,1.3,5.1,10.93,509.0,24.5,medium
2020-02-04,Abong-Mbang,Est,3.983,13.183,650,equatorial,14.4,24.1,20.3,66.4,0.0,4.1,97.0,6.2,5.6,10.95,527.2,18.4,medium
2020-02-05,Abong-Mbang,Est,3.983,13.183,650,equatorial,15.1,25.9,19.6,55.3,0.0,0.5,,0.6,7.0,10.97,635.6,24.5,medium
2020-02-06,Abong-Mbang,Est,3.983,13.183,650,equatorial,14.7,,18.9,58.5,0.0,4.3,191.0,4.5,5.2,10.99,592.4,21.5,medium
2020-02-07,Abong-Mbang,Est,3.983,13.183,650,equatorial,14.3,26.1,,61.2,0.0,2.3,179.0,2.4,6.6,11.01,,,medium
2020-02-08,Abong-Mbang,Est,3.983,13.183,650,equatorial,15.0,26.3,20.7,68.9,0.0,3.1,295.0,4.7,,11.03,566.2,27.9,medium
2020-02-09,Abong-Mbang,Est,3.983,13.183,650,equatorial,15.2,24.8,18.2,64.4,0.0,0.9,171.0,1.0,5.9,11.05,543.2,24.1,medium
2020-02-10,Abong-Mbang,Est,3.983,13.183,650,equatorial,,,19.4,70.5,0.0,4.0,335.0,,6.7,11.07,598.4,22.3,medium
2020-02-11,Abong-Mbang,Est,3.983,13.183,650,equatorial,15.9,24.6,19.5,64.9,0.0,3.8,96.0,4.8,4.5,11.09,369.7,26.7,medium
2020-02-12,Abong-Mbang,Est,3.983,13.183,650,equatorial,14.7,24.1,19.2,54.8,0.0,5.1,118.0,7.6,5.6,11.11,575.3,36.0,medium
2020-02-13,Abong-Mbang,Est,3.983,13.183,650,equatorial,12.5,25.4,18.7,58.5,0.0,1.8,215.0,2.4,5.5,11.13,682.9,22.7,medium
2020-02-14,Abong-Mbang,Est,3.983,13.183,650,equatorial,13.3,,19.2,82.2,0.0,4.0,,5.4,,11.15,507.3,19.9,medium
2020-02-15,Abong-Mbang,Est,3.983,13.183,650,equatorial,15.2,24.4,6.1,52.9,0.0,2.2,17.0,,6.5,11.17,621.4,30.3,medium
2020-02-16,Abong-Mbang,Est,3.983,13.183,650,equatorial,15.3,-2.9,19.1,,0.0,2.9,150.0,,,11.19,671.0,21.1,medium
2020-02-17,Abong-Mbang,Est,3.983,13.183,650,equatorial,14.5,23.4,18.1,69.3,0.0,4.5,171.5,5.7,5.9,11.21,698.7,27.0,medium
2020-02-18,Abong-Mbang,Est,3.983,13.183,650,equatorial,14.2,22.8,,,0.0,0.8,148.0,1.0,5.3,11.24,557.9,21.3,medium
2020-02-19,Abong-Mbang,Est,3.983,13.183,650,equatorial,15.1,,,67.9,0.0,3.9,51.0,4.9,6.1,11.26,691.5,24.4,medium
2020-02-20,Abong-Mbang,Est,3.983,13.183,650,equatorial,12.5,23.4,18.1,68.9,0.0,1.2,339.0,1.6,5.5,11.28,516.2,14.2,medium
2020-02-21,Abong-Mbang,Est,3.983,13.183,650,equatorial,14.8,,18.2,71.0,0.0,3.2,267.0,3.8,5.2,11.3,597.7,21.9,medium
2020-02-22,Abong-Mbang,Est,3.983,13.183,650,equatorial,16.6,26.1,19.6,57.2,0.0,1.5,265.0,1.6,6.4,11.33,627.6,27.9,medium
2020-02-23,Abong-Mbang,Est,3.983,13.183,650,equatorial,16.0,24.0,19.6,65.5,0.0,2.1,281.0,,5.3,11.35,485.6,22.8,medium
2020-02-24,Abong-Mbang,Est,3.983,13.183,650,equatorial,12.7,22.6,18.9,64.5,0.0,3.4,87.0,5.2,5.4,11.37,638.6,19.0,medium
2020-02-25,Abong-Mbang,Est,3.983,13.183,650,equatorial,13.8,24.5,19.6,66.5,0.0,1.8,,2.8,7.0,11.4,625.4,22.2,medium
2020-02-26,Abong-Mbang,Est,3.983,13.183,650,equatorial,-14.7,25.1,20.2,70.9,0.0,2.1,216.0,2.4,6.4,11.42,582.7,21.3,medium
2020-02-27,Abong-Mbang,Est,3.983,13.183,650,equatorial,15.8,23.2,18.9,68.4,0.5,4.0,132.4,56.3,5.1,11.45,585.6,19.7,medium
2020-02-28,Abong-Mbang,Est,3.983,13.183,650,equatorial,14.8,25.8,19.0,70.4,0.0,2.5,40.0,2.9,5.2,11.47,557.8,19.5,medium
2020-02-29,Abong-Mbang,Est,3.983,13.183,650,equatorial,13.7,22.9,19.3,51.8,0.0,3.3,113.0,4.7,6.4,11.49,639.8,23.6,medium
2020-03-01,Abong-Mbang,Est,3.983,13.183,650,equatorial,13.0,22.0,18.3,90.9,9.7,2.7,25.0,3.3,,11.52,342.4,14.0,medium
2020-03-02,Abong-Mbang,Est,3.983,13.183,650,equatorial,15.1,28.1,,77.1,0.0,2.4,115.0,2.6,3.2,11.54,290.7,19.6,medium
2020-03-03,Abong-Mbang,Est,3.983,13.183,650,equatorial,15.6,26.6,,79.8,0.0,5.1,156.0,,2.7,11.57,286.9,25.8,medium
2020-03-04,Abong-Mbang,Est,3.983,13.183,650,equatorial,,23.5,18.6,84.6,3.3,0.3,252.0,0.3,5.3,11.59,562.7,18.9,medium
2020-03-05,Abong-Mbang,Est,3.983,13.183,650,equatorial,15.1,25.0,20.7,80.5,13.2,3.6,122.0,5.5,5.5,11.62,565.6,22.2,medium
2020-03-06,Abong-Mbang,Est,3.983,13.183,650,equatorial,16.1,,22.2,,0.0,2.5,35.0,3.8,3.3,11.64,284.6,22.9,medium
2020-03-07,Abong-Mbang,Est,3.983,13.183,650,equatorial,15.1,27.6,21.3,94.9,9.7,5.5,13.0,6.5,4.6,11.67,444.2,35.6,medium
2020-03-08,Abong-Mbang,Est,3.983,13.183,650,equatorial,17.2,27.1,21.3,79.3,12.2,1.8,234.0,2.6,3.3,11.69,302.5,28.6,medium
2020-03-09,Abong-Mbang,Est,3.983,13.183,650,equatorial,17.3,,20.5,87.9,0.0,4.0,145.0,4.4,4.2,11.72,419.3,31.8,medium
2020-03-10,Abong-Mbang,Est,3.983,13.183,650,equatorial,15.4,24.3,20.1,86.9,17.0,2.9,70.0,3.2,2.8,11.74,201.1,26.7,medium
2020-03-11,Abong-Mbang,Est,3.983,13.183,650,equatorial,15.3,26.9,21.8,100.0,4.3,3.1,115.0,3.8,0.0,11.77,20.9,22.0,medium
2020-03-12,Abong-Mbang,Est,3.983,13.183,650,equatorial,16.2,26.3,19.5,100.0,0.0,5.2,18.0,7.5,3.7,11.79,,17.1,medium
2020-03-13,Abong-Mbang,Est,3.983,13.183,650,equatorial,16.2,27.0,21.8,87.9,2.7,1.5,262.0,2.1,3.4,11.82,333.3,16.8,medium
2020-03-14,Abong-Mbang,Est,3.983,13.183,650,equatorial,17.0,25.5,,94.8,,1.0,137.0,1.4,5.1,11.85,470.4,23.4,medium
2020-03-15,Abong-Mbang,Est,3.983,13.183,650,equatorial,17.2,28.2,21.5,,1.9,3.2,287.0,4.5,3.0,11.87,289.2,15.7,medium
2020-03-16,Abong-Mbang,Est,3.983,13.183,650,equatorial,18.1,27.8,21.6,,0.0,0.9,357.0,13.0,3.1,11.9,228.8,22.5,medium
2020-03-17,Abong-Mbang,Est,3.983,13.183,650,equatorial,13.7,24.4,,74.2,4.9,1.5,23.0,1.8,2.8,11.92,295.0,14.2,medium
2020-03-18,Abong-Mbang,Est,3.983,13.183,650,equatorial,15.0,25.4,19.3,94.1,,3.0,44.0,,4.1,11.95,364.4,,medium
2020-03-19,Abong-Mbang,Est,3.983,13.183,650,equatorial,18.7,28.0,23.6,,0.0,2.2,5.0,2.6,1.5,11.97,170.7,15.7,medium
2020-03-20,Abong-Mbang,Est,3.983,13.183,650,equatorial,18.5,28.4,22.8,,4.8,3.6,330.0,5.1,1.8,12.0,202.7,20.5,medium
2020-03-21,Abong-Mbang,Est,3.983,13.183,650,equatorial,17.8,28.9,23.4,95.6,0.0,0.5,336.0,0.5,3.8,12.03,360.9,13.2,medium
2020-03-22,Abong-Mbang,Est,3.983,13.183,650,equatorial,16.9,26.5,,88.3,5.7,4.1,167.0,5.5,2.6,12.05,303.3,22.2,medium
2020-03-23,Abong-Mbang,Est,3.983,13.183,650,equatorial,16.1,26.2,20.5,83.4,0.0,2.5,56.0,3.6,4.1,12.08,406.9,15.9,medium
2020-03-24,Abong-Mbang,Est,3.983,13.183,650,equatorial,15.1,25.9,21.3,96.8,,17.0,,3.0,,12.1,271.9,22.2,medium
2020-03-25,Abong-Mbang,Est,3.983,13.183,650,equatorial,19.8,30.1,,83.0,8.5,2.0,240.1,,2.1,12.13,186.7,29.6,medium
2020-03-26,Abong-Mbang,Est,3.983,13.183,650,equatorial,14.2,25.0,20.1,,0.0,2.4,137.0,3.2,3.7,12.15,295.0,,medium
2020-03-27,Abong-Mbang,Est,3.983,13.183,650,equatorial,16.4,27.8,21.8,80.6,1.9,1.4,208.0,2.0,3.7,12.18,,21.9,medium
2020-03-28,Abong-Mbang,Est,3.983,13.183,650,equatorial,41.6,27.9,22.5,83.0,,3.2,167.0,3.3,,12.21,272.4,27.6,medium
2020-03-29,Abong-Mbang,Est,3.983,13.183,650,equatorial,14.1,,20.2,,1.6,,202.0,,2.8,12.23,252.1,,medium
2020-03-30,Abong-Mbang,Est,3.983,13.183,650,equatorial,18.2,26.4,21.7,74.1,,1.7,105.0,2.3,2.4,12.26,292.2,,medium
2020-03-31,Abong-Mbang,Est,3.983,13.183,650,equatorial,18.4,28.9,24.1,84.6,11.1,,207.0,7.2,3.5,12.28,302.5,28.5,medium
2020-04-01,Abong-Mbang,Est,3.983,13.183,650,equatorial,17.9,30.5,24.1,84.4,22.0,2.0,9.0,2.1,1.3,12.31,96.9,351.3,medium
2020-04-02,Abong-Mbang,Est,3.983,13.183,650,equatorial,16.1,25.3,21.4,79.2,0.5,3.7,118.0,3.8,2.0,12.33,170.5,25.7,medium
2020-04-03,Abong-Mbang,Est,3.983,13.183,650,equatorial,16.3,,22.0,87.7,0.0,1.5,268.0,2.3,3.0,12.36,185.9,24.7,medium
2020-04-04,Abong-Mbang,Est,3.983,13.183,650,equatorial,17.5,28.0,22.8,95.1,0.0,3.3,322.0,3.7,2.7,12.38,295.3,22.9,medium
2020-04-05,Abong-Mbang,Est,3.983,13.183,650,equatorial,15.4,27.4,21.6,82.7,0.0,1.5,116.0,2.1,,12.41,325.4,27.9,medium
2020-04-06,Abong-Mbang,Est,3.983,13.183,650,equatorial,17.2,28.2,23.6,88.8,,1.4,7.0,1.6,5.0,12.43,571.8,26.2,medium
2020-04-07,Abong-Mbang,Est,3.983,13.183,650,equatorial,18.4,27.9,22.0,100.0,0.0,2.4,45.0,2.5,4.0,12.46,,23.8,medium
2020-04-08,Abong-Mbang,Est,3.983,13.183,650,equatorial,19.4,28.6,23.1,89.7,0.4,1.5,58.0,2.2,6.7,12.48,575.4,13.2,medium
2020-04-09,Abong-Mbang,Est,3.983,13.183,650,equatorial,16.5,26.7,21.5,,0.0,1.0,291.0,1.1,5.2,12.51,479.6,19.9,medium
2020-04-10,Abong-Mbang,Est,3.983,13.183,650,equatorial,20.0,30.4,23.7,98.2,0.0,3.1,324.0,3.6,3.5,12.53,,28.1,medium
2020-04-11,Abong-Mbang,Est,3.983,13.183,650,equatorial,,29.2,22.7,86.5,0.0,0.4,213.0,0.4,3.1,12.55,212.0,24.1,medium
2020-04-12,Abong-Mbang,Est,3.983,13.183,650,equatorial,,27.0,22.0,94.2,0.0,4.1,346.0,,3.6,12.58,318.2,29.4,medium
2020-04-13,Abong-Mbang,Est,3.983,13.183,650,equatorial,16.8,27.9,23.1,86.2,0.0,2.1,334.2,3.0,4.2,12.6,374.1,20.5,medium
2020-04-14,Abong-Mbang,Est,3.983,13.183,650,equatorial,15.6,27.1,21.7,84.0,0.0,4.4,120.0,4.4,2.8,12.63,266.5,,medium
2020-04-15,Abong-Mbang,Est,3.983,13.183,650,equatorial,18.9,28.2,,72.4,4.9,2.5,226.0,2.7,-10.1,12.65,159.8,27.7,medium
2020-04-16,Abong-Mbang,Est,3.983,13.183,650,equatorial,,28.4,24.0,72.0,0.0,5.1,139.0,7.2,4.4,12.67,401.0,25.8,medium
2020-04-17,Abong-Mbang,Est,3.983,13.183,650,equatorial,15.6,25.5,19.5,76.6,3.1,3.1,28.0,4.6,4.1,12.7,,19.9,medium
2020-04-18,Abong-Mbang,Est,3.983,13.183,650,equatorial,17.9,52.4,23.9,99.3,0.0,3.1,107.0,4.7,6.1,12.72,632.4,23.5,medium
2020-04-19,Abong-Mbang,Est,3.983,13.183,650,equatorial,,29.5,22.7,91.6,12.5,2.4,333.0,3.6,1.7,12.74,,15.9,medium
2020-04-20,Abong-Mbang,Est,3.983,13.183,650,equatorial,18.9,,,95.6,,0.0,8.0,0.0,4.5,12.76,465.8,10.7,medium
2020-04-21,Abong-Mbang,Est,3.983,13.183,650,equatorial,16.5,28.1,21.8,86.5,5.2,2.0,259.0,2.8,3.3,12.79,,15.8,medium
2020-04-22,Abong-Mbang,Est,3.983,13.183,650,equatorial,16.5,28.4,21.7,79.5,2.7,5.9,174.0,8.6,3.0,12.81,354.9,,medium
2020-04-23,Abong-Mbang,Est,3.983,13.183,650,equatorial,17.8,27.1,22.7,79.7,,4.1,39.0,5.6,4.3,12.83,514.8,20.2,medium
2020-04-24,Abong-Mbang,Est,3.983,13.183,650,equatorial,19.7,27.6,23.5,,,1.9,50.0,2.7,1.0,12.85,43.6,22.5,medium
2020-04-25,Abong-Mbang,Est,3.983,13.183,650,equatorial,18.1,28.2,23.5,156.7,5.8,1.4,229.0,2.0,4.9,12.87,498.2,24.4,medium
2020-04-26,Abong-Mbang,Est,3.983,13.183,650,equatorial,20.2,31.0,24.5,86.7,18.4,3.8,63.0,6.1,3.7,12.89,305.6,23.7,medium
2020-04-27,Abong-Mbang,Est,3.983,13.183,650,equatorial,45.7,30.2,23.8,98.4,22.1,1.3,61.0,1.9,2.8,12.91,240.5,19.5,medium
2020-04-28,Abong-Mbang,Est,3.983,13.183,650,equatorial,16.4,27.2,20.9,82.7,0.0,2.5,204.0,2.9,2.1,12.93,308.3,13.5,medium
2020-04-29,Abong-Mbang,Est,3.983,13.183,650,equatorial,18.8,28.8,22.5,84.8,0.0,6.1,,6.5,,12.95,,32.6,medium
2020-04-30,Abong-Mbang,Est,3.983,13.183,650,equatorial,18.4,28.6,23.0,87.2,0.0,4.7,,5.7,3.6,12.97,276.5,22.0,medium
2020-05-01,Abong-Mbang,Est,3.983,13.183,650,equatorial,17.9,27.2,23.3,96.6,0.0,3.5,163.0,5.6,2.2,12.99,209.0,30.3,medium
2020-05-02,Abong-Mbang,Est,3.983,13.183,650,equatorial,17.8,29.3,22.6,90.9,0.0,2.8,286.0,4.1,5.1,13.01,524.3,11.6,medium
2020-05-03,Abong-Mbang,Est,3.983,13.183,650,equatorial,17.2,27.3,23.1,93.0,0.5,4.7,2.0,5.4,6.0,13.03,,22.1,medium
2020-05-04,Abong-Mbang,Est,3.983,13.183,650,equatorial,17.6,27.8,22.5,86.0,5.7,4.6,48.0,,4.1,13.05,443.0,35.6,medium
2020-05-05,Abong-Mbang,Est,3.983,13.183,650,equatorial,20.7,28.6,25.0,82.6,8.0,2.7,325.0,,2.7,13.07,298.9,26.4,medium
2020-05-06,Abong-Mbang,Est,3.983,13.183,650,equatorial,19.7,31.6,25.0,90.3,2.0,0.9,273.0,1.2,6.1,13.09,505.2,20.5,medium
2020-05-07,Abong-Mbang,Est,3.983,13.183,650,equatorial,18.5,29.6,23.8,82.9,0.0,1.1,122.0,,6.4,13.1,629.7,21.1,medium
2020-05-08,Abong-Mbang,Est,3.983,13.183,650,equatorial,19.4,30.1,23.3,81.3,14.1,2.8,225.0,4.3,3.4,13.12,306.9,20.1,medium
2020-05-09,Abong-Mbang,Est,3.983,13.183,650,equatorial,17.5,26.7,,90.2,7.9,0.9,208.0,1.3,3.6,13.14,418.7,25.5,medium
2020-05-10,Abong-Mbang,Est,3.983,13.183,650,equatorial,16.1,29.3,22.6,83.6,2.1,2.2,200.0,,2.7,13.15,249.7,23.9,medium
2020-05-11,Abong-Mbang,Est,3.983,13.183,650,equatorial,18.1,30.0,23.6,92.4,0.0,3.5,282.0,4.1,3.9,13.17,495.1,28.1,medium
2020-05-12,Abong-Mbang,Est,3.983,13.183,650,equatorial,18.8,29.8,22.9,77.4,0.0,1.1,108.0,1.8,3.4,13.19,331.5,19.8,medium
2020-05-13,Abong-Mbang,Est,3.983,13.183,650,equatorial,16.1,26.4,22.6,98.6,0.0,,66.0,2.5,5.2,13.2,392.7,26.6,medium
2020-05-14,Abong-Mbang,Est,3.983,13.183,650,equatorial,18.2,28.2,24.1,91.5,6.9,1.3,342.0,,5.2,13.22,,17.9,medium
2020-05-15,Abong-Mbang,Est,3.983,13.183,650,equatorial,,28.4,24.4,76.9,19.5,0.9,297.0,1.1,,13.23,238.9,21.3,medium
2020-05-16,Abong-Mbang,Est,3.983,13.183,650,equatorial,18.5,29.6,23.9,89.5,1.3,1.5,318.0,1.7,2.7,13.25,271.7,13.2,medium
2020-05-17,Abong-Mbang,Est,3.983,13.183,650,equatorial,17.0,28.7,,86.9,137.5,2.6,230.0,3.0,2.3,13.26,291.6,25.6,medium
2020-05-18,Abong-Mbang,Est,3.983,13.183,650,equatorial,21.7,31.9,25.3,95.3,0.0,1.8,281.0,27.2,5.1,13.27,472.8,18.5,medium
2020-05-19,Abong-Mbang,Est,3.983,13.183,650,equatorial,20.3,32.1,25.1,90.3,20.0,2.2,0.0,3.4,4.7,13.29,,21.0,medium
2020-05-20,Abong-Mbang,Est,3.983,13.183,650,equatorial,17.1,26.9,-4.5,97.4,0.0,1.4,,1.7,,13.3,262.6,14.4,medium
2020-05-21,Abong-Mbang,Est,3.983,13.183,650,equatorial,19.6,29.9,26.0,92.8,0.0,4.4,303.0,4.6,1.5,13.31,,,medium
2020-05-22,Abong-Mbang,Est,3.983,13.183,650,equatorial,20.2,28.2,24.1,90.9,242.4,4.6,264.0,5.3,3.4,13.33,352.1,22.7,medium
2020-05-23,Abong-Mbang,Est,3.983,13.183,650,equatorial,16.9,28.8,22.9,86.1,8.1,4.9,241.0,,5.6,13.34,625.3,26.1,medium
2020-05-24,Abong-Mbang,Est,3.983,13.183,650,equatorial,21.1,30.0,24.6,85.3,0.0,1.6,,2.4,3.6,13.35,377.5,16.9,medium
2020-05-25,Abong-Mbang,Est,3.983,13.183,650,equatorial,,28.3,,79.3,10.3,5.6,332.0,6.6,,13.36,555.8,17.3,medium
2020-05-26,Abong-Mbang,Est,3.983,13.183,650,equatorial,16.8,,22.9,100.0,0.0,1.9,235.0,2.6,1.9,13.37,136.1,15.0,medium
2020-05-27,Abong-Mbang,Est,3.983,13.183,650,equatorial,20.9,31.2,24.5,99.7,8.9,0.0,5.0,0.0,3.4,13.38,437.6,20.9,medium
2020-05-28,Abong-Mbang,Est,3.983,13.183,650,equatorial,18.7,12.8,,81.2,0.0,0.3,198.0,0.3,4.5,13.39,476.8,13.6,medium
2020-05-29,Abong-Mbang,Est,3.983,13.183,650,equatorial,17.7,29.4,,99.0,80.6,1.0,137.0,1.1,2.5,13.4,328.8,23.7,medium
2020-05-30,Abong-Mbang,Est,3.983,13.183,650,equatorial,17.7,28.9,22.3,83.0,7.8,1.7,97.0,2.6,2.8,13.41,264.7,31.0,medium
2020-05-31,Abong-Mbang,Est,3.983,13.183,650,equatorial,47.7,28.8,24.3,91.1,0.0,3.7,190.0,5.9,2.3,13.42,178.0,23.3,medium
2020-06-01,Abong-Mbang,Est,3.983,13.183,650,equatorial,20.5,29.3,24.2,98.4,0.0,0.5,19.0,0.6,2.7,13.43,335.5,19.3,medium
2020-06-02,Abong-Mbang,Est,3.983,13.183,650,equatorial,18.7,28.0,24.4,96.1,0.0,3.1,234.0,3.3,4.5,13.43,,16.5,medium
2020-06-03,Abong-Mbang,Est,3.983,13.183,650,equatorial,21.3,32.2,26.9,88.2,0.0,1.8,303.0,2.8,3.2,13.44,367.4,,medium
2020-06-04,Abong-Mbang,Est,3.983,13.183,650,equatorial,19.2,29.6,24.9,100.0,0.3,3.7,268.0,4.0,4.8,13.45,492.3,17.4,medium
2020-06-05,Abong-Mbang,Est,3.983,13.183,650,equatorial,18.6,27.9,22.6,81.4,0.0,0.1,177.0,0.1,2.5,13.46,233.4,22.6,medium
2020-06-06,Abong-Mbang,Est,3.983,13.183,650,equatorial,19.6,30.2,24.5,83.7,6.0,4.6,296.0,7.2,3.4,13.46,324.6,17.9,medium
2020-06-07,Abong-Mbang,Est,3.983,13.183,650,equatorial,20.3,30.0,24.2,91.6,0.0,4.3,85.0,5.4,2.7,13.47,304.5,20.6,medium
2020-06-08,Abong-Mbang,Est,3.983,13.183,650,equatorial,20.7,32.5,,92.6,15.9,2.6,139.0,3.0,2.9,13.47,353.0,20.6,medium
2020-06-09,Abong-Mbang,Est,3.983,13.183,650,equatorial,21.0,32.5,25.7,94.2,,2.6,231.0,4.1,4.9,13.48,356.7,,medium
2020-06-10,Abong-Mbang,Est,3.983,13.183,650,equatorial,19.3,28.3,24.3,,5.1,3.8,158.0,5.9,4.7,13.48,436.4,24.5,medium
2020-06-11,Abong-Mbang,Est,3.983,13.183,650,equatorial,19.2,27.6,,88.4,0.0,2.9,262.0,4.1,3.2,13.48,297.3,30.0,medium
2020-06-12,Abong-Mbang,Est,3.983,13.183,650,equatorial,19.6,29.4,23.9,90.8,0.0,2.0,288.0,2.6,3.6,13.49,411.8,22.5,medium
2020-06-13,Abong-Mbang,Est,3.983,13.183,650,equatorial,17.8,27.3,22.5,92.4,0.0,2.5,236.0,3.1,4.9,13.49,662.4,,medium
2020-06-14,Abong-Mbang,Est,3.983,13.183,650,equatorial,21.6,32.2,26.0,98.6,0.9,2.0,299.0,2.2,5.2,13.49,433.2,22.1,medium
2020-06-15,Abong-Mbang,Est,3.983,13.183,650,equatorial,17.7,29.7,23.4,,0.0,3.1,344.0,4.3,2.4,13.5,309.0,,medium
2020-06-16,Abong-Mbang,Est,3.983,13.183,650,equatorial,18.2,,23.5,,0.0,0.9,244.0,1.4,3.4,13.5,255.2,22.3,medium
